DEFECT_ID,Title,Severity,Priority,Area,Location,RootCause,Evidence,Fix,Status
DEF-014,Zero automated tests for account-lifecycle + responsible-play,Medium,P1,Test coverage,platform/apps/api/test,New surface shipped without tests,8 new tests all pass,Added test/accountLifecycle.test.js (8 cases) + extended fixture to load 008,Verified
DEF-015,Reset-password and verify-email share one email input state,Low,P3,Frontend/UX,platform/apps/lobby/src/AccountSettings.jsx SecurityTab,Both inputs bound to same email state,Code review,Split into email + newEmail state,Fixed
DEF-016,Responsible-play copy 'cannot be bypassed' was false,Low,P3,Product/Copy,platform/apps/lobby/src/ResponsiblePlay.jsx,Claim contradicted missing enforcement,Code review,True after DEF-001 enforcement wired; copy retained,Fixed
DEF-017,Dead/duplicate wiring in main.jsx (settings/respPlay + unused imports),Low,P3,Frontend,platform/apps/lobby/src/main.jsx,Redundant modal renders never triggered; unused imports,eslint-class unused symbols,Removed dead states/renders/imports; feature consolidated in AccountPanel,Fixed
DEF-018,Bonus-spin endpoint not covered by responsible-play enforcement,Medium,P2,Backend/Compliance,platform/apps/api/src/app.js /api/wallet/bonus-spin,rpStatus guard added to /bet only; free spins playable during self-exclusion,Regression test asserts 403 self_excluded on bonus-spin,Added rpStatus(userId,{moneyLimits:false}) hard-block guard to bonus-spin; money limits still exempt,Verified
DEF-019,Lint gate red under senior config (shadowing / empty catch / hook deps),Medium,P2,Frontend/Quality,src/AccountPanel.jsx + src/main.jsx,catch(e) shadowed the submit event; empty catch swallowed favorite-toggle errors; useMemo/useEffect missing deps,eslint output (2 errors 6 warnings),Renamed shadowed var; log favorite failure; useCallback/useMemo-stabilised deps,Verified
DEF-020,Example sites shipped generic non-brand SEO,High,P1,SEO,index.html (all 3 brand builds),Single static title/description; no OG/Twitter/canonical/JSON-LD; crawlers never run the runtime title swap,Built HTML had <title>Arcade Showcase</title> for every brand,Brand-aware transformIndexHtml + headTags() inject per-brand title/desc/OG/Twitter/canonical/JSON-LD,Verified
DEF-021,Missing crawler and PWA assets,Medium,P2,SEO/PWA,public/ + build output,No robots.txt / sitemap.xml / web manifest / maskable icon / OG image,dist listing before fix,vite plugin emits robots.txt sitemap.xml site.webmanifest icon.svg og-image.png (valid 1200x630 PNG),Verified
DEF-022,Google Fonts loaded via CSS @import (render-blocking + privacy),Medium,P2,Performance/Privacy,src/styles.css line 1,@import creates an HTML->CSS->import->font waterfall and leaks IP to Google before consent,styles.css first line was @import url(fonts.googleapis...),Moved to preconnect + non-blocking stylesheet link in <head>; verify:dist fails if @import returns,Verified
DEF-023,Deploy config built one of three brands; no cache/security header tiers,High,P1,DevOps,netlify.toml + public/_headers,command built only aurora; no Cache-Control; missing HSTS/X-Frame-Options,netlify.toml publish=dist/aurora only,Documented per-brand build+SITE_URL; immutable asset cache + revalidate HTML; added HSTS + X-Frame-Options,Verified
DEF-024,No CI pipeline,Medium,P1,DevOps,(none existed),Documented P0 gap in readiness report; no automated gate on push/PR,No .github/workflows,Added GitHub Actions: install(ci)/lint/test/build/verify:dist/audit for both root+server and platform workspaces,Verified
DEF-025,High-severity dev advisory shell-quote <=1.8.4,High,P2,Security/Supply-chain,node_modules (concurrently -> shell-quote),concurrently@10.0.3 pins vulnerable shell-quote 1.8.4,npm audit: 2 high severity,npm override to shell-quote ^1.10.0 (patched API-compatible); npm audit now 0 across dev+prod,Verified
DEF-026,Accessibility gaps on example sites,Medium,P2,Accessibility,src/main.jsx + src/AccountPanel.jsx + src/styles.css,Modals not Escape-closable; no focus trap/restore; unlabelled mute/close icon buttons; no skip link; no reduced-motion,Manual a11y review,useDialog hook (Escape + focus restore) on both modals; aria-labels on icon buttons; skip link; prefers-reduced-motion block,Verified
